stop_id,stop_name,stop_type,stop_status,stop_description,longitude,latitude
126,Maiden's Cove 2,Existing IRT Stop,Active,Cantilever Shelter,18.376242881942773,-33.944290115634736
127,Glen Beach 1,Existing IRT Stop,Active,Totem,18.37898274323216,-33.948560149094845
128,Glen Beach 2,Existing IRT Stop,Active,Full Shelter,18.37862341731649,-33.947010144120824
129,Camps Bay 1,Existing IRT Stop,Active,Full Shelter,18.37823714246148,-33.95128004059497
130,Camps Bay 2,Existing IRT Stop,Active,Extended Shelter,18.378830871385397,-33.94993670047645
131,Section 1,IRT Station,Active,Station,18.47246143243584,-33.91194865374404
132,Section 2,IRT Station,Active,Station,18.472668044062754,-33.91174736685561
133,Whale Rock 1,Existing IRT Stop,Active,Extended Shelter,18.37686319777391,-33.95348017986972
134,Whale Rock 2,Existing IRT Stop,Active,Cantilever Shelter,18.376598816388906,-33.95508342112203
135,Barley Bay 1,Existing IRT Stop,Active,Totem,18.376952550500594,-33.959208216951545
136,Barley Bay 2,Existing IRT Stop,Active,Cantilever Shelter,18.37724382854854,-33.95884471542436
137,Bakoven 1,Existing IRT Stop,Active,Full Shelter,18.373723899665613,-33.96308797075073
138,Bakoven 2,Existing IRT Stop,Active,Totem,18.37366896156092,-33.962916375150726
139,KoeÃ«l Bay 1,Existing IRT Stop,Active,Totem,18.37161655759765,-33.970927747314555
140,KoeÃ«l Bay 2,Existing IRT Stop,Active,Totem,18.371329097093394,-33.9703615512425
141,Vrystaat 1,IRT Station,Active,Station,18.476467917744554,-33.90737111056765
142,Vrystaat 2,IRT Station,Active,Station,18.476710462474106,-33.90743075420249
143,Oudekraal 1,Existing IRT Stop,Active,Totem,18.35057801390075,-33.98843325498782
144,Oudekraal 2,Existing IRT Stop,Active,Totem,18.351386498311292,-33.98820235427797
145,Llandudno 1,Existing IRT Stop,Active,Full Shelter,18.347532725037112,-34.005659622750485
146,Llandudno 2,Existing IRT Stop,Active,Cantilever Shelter,18.347376023379308,-34.006630001657534
147,Ruyterplaats 1,Existing IRT Stop,Active,Full Shelter,18.35019173746155,-34.014319896761634
148,Ruyterplaats 2,Existing IRT Stop,Active,Full Shelter,18.349931227243495,-34.01355294385755
149,Mount Rhodes 1,Existing IRT Stop,Active,Full Shelter,18.35136673719425,-34.019961291141094
150,Mount Rhodes 2,Existing IRT Stop,Active,Totem,18.35111407258679,-34.0195271729106
151,Helgarda 1,Existing IRT Stop,Active,Totem,18.349616816502692,-34.02798986371501
152,Helgarda 2,Existing IRT Stop,Active,Full Shelter,18.34960381831258,-34.02761715955249
153,Zoarvlei 1,IRT Station,Active,Station,18.480878646429364,-33.90060126391926
154,Zoarvlei 2,IRT Station,Active,Station,18.48107627453433,-33.900653455927625
155,Valley 1,Existing IRT Stop,Active,Full Shelter,18.35160209249476,-34.030372203695734
156,Valley 2,Existing IRT Stop,Active,Full Shelter,18.351161919306403,-34.03050620922939
157,Imizamo Yethu 1,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.355150439395658,-34.02982129396647
158,Imizamo Yethu 2,Existing IRT Stop with Temporary Pole,Active,Temp Pole,18.355572646838617,-34.02997763414828
159,Berg-en-dal 1,Existing IRT Stop,Active,Totem,18.35755360488779,-34.03721511664061
160,Berg-en-dal 2,Existing IRT Stop,Active,Full Shelter,18.357095411381877,-34.03662411223834
161,Scott 1,Existing IRT Stop,Active,Full Shelter,18.359022178468255,-34.03978179176457
162,Scott 2,Existing IRT Stop,Active,Full Shelter,18.35876166588979,-34.03952125627927
163,Mainstream 1,Existing IRT Stop,Active,Totem,18.359528466814844,-34.04266514393723
164,Mainstream 2,Existing IRT Stop,Active,Totem,18.359363537763738,-34.042617864392795
165,Lagoon Beach 1,IRT Station,Active,Station,18.485388189540277,-33.89154910901143
166,Lagoon Beach 2,IRT Station,Active,Station,18.485361239174907,-33.891757900638844
167,Hout Bay 1,Existing IRT Stop,Active,Cantilever Shelter,18.359264722980733,-34.045260311910226
168,Daphne 1,Existing IRT Stop,Active,Totem,18.348134742851112,-34.033596721143084
169,Daphne 2,Existing IRT Stop,Active,Full Shelter,18.348015813359037,-34.03264016864147
170,Lancaster 1,Existing IRT Stop,Active,Full Shelter,18.34930240568149,-34.03655108625302
171,Lancaster 2,Existing IRT Stop,Active,Full Shelter,18.34918562446268,-34.03640964692471
172,Oxford Earl 1,Existing IRT Stop,Active,Totem,18.35010881754021,-34.039710711234676
173,Oxford Earl 2,Existing IRT Stop,Active,Cantilever Shelter,18.35006165364096,-34.039988973340556
174,Lower Victoria 1,Existing IRT Stop,Active,Totem,18.350577719506678,-34.04316641478506
175,Lower Victoria 2,Existing IRT Stop,Active,Cantilever Shelter,18.350473877551572,-34.04296683054262
176,Woodbridge 1,IRT Station,Active,Station,18.491308085575238,-33.88324175536528
177,Woodbridge 2,IRT Station,Active,Station,18.491379952373183,-33.88345056712269
178,Northshore 1,Existing IRT Stop,Active,Totem,18.34850290622531,-34.046659659683385
179,Northshore 2,Existing IRT Stop,Active,Full Shelter,18.347937619466514,-34.04700557113475
180,Fishmarket 1,Existing IRT Stop,Active,Totem,18.345579808440007,-34.04925232292879
181,Fishmarket 2,Existing IRT Stop,Active,Full Shelter,18.34542859061939,-34.0492613433019
182,Atlantic Skipper 1,Existing IRT Stop,Active,Totem,18.346418814275417,-34.05449707012931
183,Atlantic Skipper 2,Existing IRT Stop,Active,Cantilever Shelter,18.346524061328534,-34.05479664952146
184,Oceana 1,Existing IRT Stop,Active,Totem,18.344708339712113,-34.05584113101548
185,Oceana 2,Existing IRT Stop,Active,Full Shelter,18.34533185281711,-34.05635025402046
186,Bayview,Existing IRT Stop,Active,Cantilever Shelter,18.341498347382714,-34.05394446805694
187,Hangberg 2,Existing IRT Stop,Active,Extended Shelter,18.342133849607574,-34.05423657920867
188,Marlin 1,New IRT Stop with Temporary Pole,Active,Totem,18.341451131367634,-34.052748043119976
189,Milnerton 1,IRT Station,Active,Station,18.495143892484474,-33.872293307310166
190,Milnerton 2,IRT Station,Active,Station,18.49570084772627,-33.871614576726174
191,Waterfront Silo 1,Existing IRT Stop,Active,Cantilever Shelter,18.42340951747556,-33.909460558700786
192,Amsterdam 1,Existing IRT Stop,Active,Totem,18.422892394036925,-33.91261960878782
193,Convention Centre 1,Existing IRT Stop,Active,Totem,18.427096509750623,-33.91689868470747
194,Convention Centre 2,Existing IRT Stop,Active,Totem,18.426647351525634,-33.916399221574125
195,Racecourse 1,IRT Station,Active,Station,18.500363105156264,-33.86134345504678
196,Racecourse 2,IRT Station,Active,Station,18.50032717232463,-33.8615523211671
197,Groote Kerk 1,Existing IRT Stop,Active,Totem,18.42118559549669,-33.92400266887334
198,Groote Kerk 2,Existing IRT Stop,Active,Totem,18.42131136001128,-33.923697054261936
199,Upper Long 1,Existing IRT Stop,Active,Totem,18.414636877068315,-33.92654445529577
200,Lower Kloof 1,Existing IRT Stop,Active,Cantilever Shelter,18.41209456736994,-33.92864365808698
201,Lower Kloof 2,Existing IRT Stop,Active,Cantilever Shelter,18.412131515885957,-33.92851819723729
202,Ludwig's Garden 1,Existing IRT Stop,Active,Full Shelter,18.409379593885856,-33.93001933225101
203,Ludwig's Garden 2,Existing IRT Stop,Active,Cantilever Shelter,18.410064452204043,-33.93038307760967
204,Kew 1,Existing IRT Stop,Active,Temp Pole,18.4024377555273,-33.93708348315562
205,Belle Ombre 1,Existing IRT Stop,Active,Totem,18.407243741937723,-33.93062158935939
206,Belle Ombre 2,Existing IRT Stop,Active,Full Shelter,18.406866606205284,-33.930844703330735
207,Sunset Beach 1,IRT Station,Active,Station,18.496410516610272,-33.85397314498457
208,Sunset Beach 2,IRT Station,Active,Station,18.496527297643397,-33.85418202905477
209,St Michael's 1,Existing IRT Stop,Active,Totem,18.4043297832074,-33.93329889848292
210,St Michael's 2,Existing IRT Stop,Active,Full Shelter,18.404726079483826,-33.93279809172518
